Unnamed: 0,Unnamed: 0.2,Term_id
year,733,1226200135731148200
addit,734,2992763723579619538
secur,735,6823019810508492060
bag,736,193359351721351703
upon,737,8509162878249178247
exit,738,-6488995631565174773
evolut,739,-74832890439936312
stand,740,1443362764723245036
cloth,741,3398395465140119166
manhattan,742,32129090634674876
soho,743,-1327751356221989160
art,744,8847977379373259141
truli,745,-5235461076059784295
distinct,746,5151100082243101522
handsom,747,-4130191784466983082
tuck,748,-1095727248339126585
everi,749,2928578818556374162
corner,750,5722262296763276675
crevic,751,6121988984556428638
uniqu,752,-5328819632293019777
natur,753,-7469808448821235144
histori,754,3509119175216767514
collect,755,6001807124646529820
frame,756,-1884427850289632303
butterfli,757,8939029581697469077
insect,758,-39183880899383419
fossil,759,-1271771325429234424
seashel,760,-8848673622378136473
jar,761,577595778964090566
wide,762,-8724653871040631049
tribal,763,2566308997121067257
fill,764,880178742928333444
skeleton,765,6598565310745664471
hang,766,-5659002905874885393
medic,767,-4421631820502836997
model,768,-3599022214699917789
poster,769,433628406367107015
spare,770,-8721339907535232874
space,771,-5423446414423105944
staff,772,4752742429797097449
knowledg,773,5687943698476780028
welcom,774,-2677252896387130
question,775,4477361564503120991
ware,776,-7711639240316439959
specimen,777,6031289291932501747
acquir,778,-8229152915095493296
high,779,-8646902150923209771
qualiti,780,-5069582699336101620
stumbl,781,7755263652841139455
arm,782,7909273700225139787
outstretch,783,-605672754684716581
sometim,784,404175399158398006
smack,785,-7377857801204262546
headfirst,786,-8974466564418247849
reflect,787,-6331022493695807591
shriek,788,-1045633605550420934
giggl,789,-2546503972006021750
reach,790,-1010786671287242
els,791,2562753086247365796
ask,792,2170735281755717408
maze,793,-4505133902510355525
contain,794,8852531973654609350
nondescript,795,-7143365436040625446
pier,796,136953728923485610
39,797,6481573955860243464
disori,798,-8458956575782305511
dungeon,799,4376908876190605531
mirror,800,-3133739793326119622
lit,801,7149854666393054775
blacklight,802,-196667668133931251
flash,803,-4599515594392715015
neon,804,4243557684112591098
rave,805,8032554756995354910
manag,806,5470249546926173606
purveyor,807,-7247253332196191302
recommend,808,-3534815547776227165
backward,809,-8687937531439378177
trippi,810,5644370465339898762
scene,811,-6089039861430276974
standard,812,9132278967929787295
fare,813,685849183286997531
magowan,814,7335226980164462900
infinit,815,470552132074076581
visitor,816,7814883086104520437
drug,817,5588869462886033379
requir,818,-6008177786135057024
matter,819,-5149535388544137511
founder,820,-1300812161885180102
call,821,-6083202339642988377
scienc,822,-2022188633156724053
trick,823,1813494648014317368
simple–y,824,4297356838240191896
probabl,825,663626898714158183
seen,826,438436170032460898
carnival–but,827,-2829203994917654647
effect,828,2705739715440626659
still,829,4371304998006259087
enchant,830,6377491693290563499
updat,831,6573702291626849531
februari,832,-9106282696555196199
2018,833,-6174596048296441018
briefli,834,-6837493747896535727
explan,835,316336898911655094
rest,836,5634457144570946720
countri,837,-8969709772724218305
forc,838,-5093878536657666290
dri,839,-1835780130721268394
lo,840,1819088430717370792
angel,841,3122312928516291696
parti,842,6279944251793377482
prohibit,843,1162808165692109644
law,844,4002558296261819332
11,845,-1708992443718075991
servic,846,3055350377755463672
passageway,847,2380958785234533866
basement,848,1147272568830948428
speakeasi,849,-4127707667970202950
innocu,850,5629721551202116126
front,851,-8414887474137220055
patron,852,255857258184272527
booz,853,1745884256218747754
without,854,8206941898402940809
care,855,5321182550647065380
mayor,856,-5191981887868906394
ran,857,-2937738226392936400
hootch,858,-5284575995643196932
king,859,4902075930896850408
eddi,860,4615120434693170382
saloon,861,4858935376259270264
establish,862,-673499821442903262
aliv,863,8361238243190329766
kick,864,9134627849430506391
5th,865,-8578486639374080197
main,866,-7626342880129427811
1900,867,-2133080642338010347
hid,868,-7810237282411182034
plain,869,7817175755967110259
sight,870,-1381617197646431436
piano,871,884944559441140789
luckili,872,-3403040416209025611
took,873,-1799785903195204287
issu,874,-2495419686388227091
sudden,875,2098975748324699773
surviv,876,3691433840644937204
prosper,877,-444119732514013377
litter,878,314410943139264610
crumbl,879,-1164708720454141654
brick,880,3963972308256599963
graffiti,881,8676961090137757095
mural,882,7362229094944966936
equestrian,883,-8951327874398762043
vehicl,884,5134894852740882795
clog,885,-3407232631503035437
transport,886,7930587242063568808
prison,887,-1173293279693661909
bank,888,5810288450364879771
sum,889,-1690178054875588199
cash,890,-4508148915373060328
safe,891,-7845519904240688266
coron,892,-8130650377643773382
mobster,893,-1361817719464637715
mostli,894,3569647476132681696
easi,895,-392025442405931222
shortcut,896,-1119864018670843891
employe,897,5143065558818348641
runner,898,2336567618306271938
rare,899,10665239635696790
occas,900,-6095381253085579493
bad,901,4630792087849537635
weather,902,7215173542066474389
highway,903,6320120932734060573
slip,904,-4644438181143028929
templ,905,-8925831860007172223
easytomiss,906,4761838888390179597
subterranean,907,-2625661048803809242
rust,908,-1306001422680640370
machineri,909,3618450646062399859
iron,910,1081155894706956464
limit,911,1116873108563761274
earthquak,912,-6273069915887605071
16th,913,8057363961112971720
staircas,914,5058749918730048504
163,915,-6732459520712532317
step,916,-1223865923272732009
mosaic,917,6988440407426527651
color,918,4706806186676023516
hidden,919,7125819721513206015
quiet,920,-784689535608812092
sunset,921,-1536639977622938748
neighborhood,922,3868350577608592868
draw,923,3183184672299503308
reward,924,-3552604073937925533
sweep,925,9143768981905087906
beauti,926,299079880724927055
garden,927,5648806365335280729
succul,928,3987626437966827137
nativ,929,3869143371247737338
habitat,930,-1015818827913670227
plant,931,-127637910791553249
hairstreak,932,-503716241703160853
waypoint,933,-112025106379416814
butterflybolst,934,-1578801564059123654
corridor,935,7557755778165625964
2003,936,1904780870370125508
2005,937,3666258454582985179
volunt,938,-6633341147468273472
selarón,939,-4348389594547552121
rio,940,753013610663187944
janeiro,941,9181759851471470237
brightli,942,-4159542884634791933
donat,943,5803597223226422496
commun,944,3827406794674306741
sun,945,-3093393861268067147
stair,946,806335273018822350
ascend,947,2039041167768792727
sea,948,2832723829824744072
sun—get,949,1022998064994849069
bottom,950,-1390262811240786349
last,951,-3707435143243235779
crop,952,4513388778810931903
franciscan,953,-6888849974574239626
format,954,6562454580951992907
biozon,955,7152923013529982677
stairway,956,2559148823862891847
collett,957,-6369491609736427976
crutcher,958,-3533858864913159795
aileen,959,129344857643147449
barr,960,4685418235171290720
church,961,7130656517735936057
tribeca,962,-5530613287711230174
eye,963,-3968710924455108198
black,964,8314566633194996928
cryptic,965,-683604327331205768
white,966,-1942761546122490343
dream,967,6001664311450473274
although,968,3027353559734105133
typic,969,-1932366840382256208
4door,970,-6011498177455407173
garag,971,8112182502120178495
guarante,972,-7827634595062702376
oneofakind,973,8055596889221469973
absorb,974,-4463438455927007600
fluctuat,975,-7182717529511910750
accompani,976,-5367351835585922895
pink,977,3298166438191684740
1993,978,-4098592832058808172
modern,979,-4765572450104474254
compos,980,-7626931818597800354
mont,981,3661683846400795178
young,982,4122921232728073892
visual,983,-1634406928367125930
marian,984,6479725467904823242
zazeela,985,1527964447132486499
marri,986,329654356601272385
40,987,-5239429770755287621
explain,988,-3822772151474516042
togeth,989,8187722928365188970
experienc,990,4989073680021720157
media,991,-2426128083061895105
environ,992,2778606546947057762
medium,993,4851615555865770212
least,994,-3441737843483607474
mode,995,4703426328179481400
attent,996,-1381472803869732467
exampl,997,6796649389523247264
prepar,998,-7567539037487542579
encount,999,6742639029309426966
field,1000,-9129254970617145034
invit,1001,-7416120038090279573
dive,1002,-2665703932970554859
wednesday,1003,5824024457918474068
saturday,1004,-6445968471857346528
2pmmidnight,1005,3675312554874807505
admiss,1006,-136327349933454043
1000–,1007,3388795800932074561
right,1008,9085601016580806307
august,1009,-6481010740491300132
address,1010,-3803007700611476313
third,1011,-6992625827396727552
denot,1012,4479537609701282177
